# Dagmar Gromann and Thierry Declerck (2019): "Towards the Detection and Formal Representation of Semantic Shifts in Inflection Morphology". Proceedings of Language, Data, and Knowledge (LDK). 

profit profits, Cosine: 0.8532502
stall stalls, Cosine: 0.7802944
metric metrics, Cosine: 0.6033303
finance finances, Cosine: 0.58864284
skittle skittles, Cosine: 0.7465482
heroic heroics, Cosine: 0.69551957
hipster hipsters, Cosine: 0.84998894
tremble trembles, Cosine: 0.7573179
physic physics, Cosine: 0.57747865
throe throes, Cosine: 0.24258506
dealing dealings, Cosine: 0.49554065
transaction transactions, Cosine: 0.83472323
moral morals, Cosine: 0.6988487
human humans, Cosine: 0.6191629
scour scours, Cosine: 0.7267967
receipt receipts, Cosine: 0.57050556
slew slews, Cosine: 0.5414428
double doubles, Cosine: 0.54592746
outskirt outskirts, Cosine: 0.7972545
corduroy corduroys, Cosine: 0.70869267
proceeding proceedings, Cosine: 0.65262973
glasswork glassworks, Cosine: 0.7110382
aesthetic aesthetics, Cosine: 0.8135844
shirtsleeve shirtsleeves, Cosine: 0.7045592
gen gens, Cosine: 0.5847222
ascomycete ascomycetes, Cosine: 0.836737
draught draughts, Cosine: 0.5849701
color colors, Cosine: 0.73596317
gob gobs, Cosine: 0.52611494
laurel laurels, Cosine: 0.4148455
air airs, Cosine: 0.34853062
goldfield goldfields, Cosine: 0.7573832
leotard leotards, Cosine: 0.8280363
brake brakes, Cosine: 0.82505226
classic classics, Cosine: 0.6911339
height heights, Cosine: 0.607751
slop slops, Cosine: 0.6092888
prelim prelims, Cosine: 0.69217145
tenpin tenpins, Cosine: 0.70231706
masse masses, Cosine: 0.3778924
gripe gripes, Cosine: 0.8378058
skinhead skinheads, Cosine: 0.8473361
graphic graphics, Cosine: 0.6511584
eye eyes, Cosine: 0.68769985
stagger staggers, Cosine: 0.6601961
damage damages, Cosine: 0.6977887
minor minors, Cosine: 0.41712895
ton tons, Cosine: 0.8332518
stack stacks, Cosine: 0.8263397
art arts, Cosine: 0.6855579
finding findings, Cosine: 0.33209598
trimming trimmings, Cosine: 0.52301234
yip yips, Cosine: 0.48644853
ethic ethics, Cosine: 0.49042025
heave heaves, Cosine: 0.7071996
clapper clappers, Cosine: 0.598343
peanut peanuts, Cosine: 0.6300531
barrel barrels, Cosine: 0.7884063
way ways, Cosine: 0.6914842
sight sights, Cosine: 0.52444035
content contents, Cosine: 0.51398635
seven sevens, Cosine: 0.3498341
archive archives, Cosine: 0.84183407
heap heaps, Cosine: 0.69807845
cleaner cleaners, Cosine: 0.7049189
bar bars, Cosine: 0.6597784
